account_id,plan_tier,industry,seats,contract_value_monthly,signup_date,churned,churn_date,storyline
ACC-00000,Scale,Media,14,3309.69,2026-02-01,False,,seasonal
ACC-00001,Starter,EdTech,2,67.74,2025-12-04,True,2026-04-08,slow_decay
ACC-00002,Starter,Logistics,2,79.0,2026-04-09,True,2026-07-09,slow_decay
ACC-00003,Starter,Retail,5,496.07,2025-12-09,True,2026-03-13,sharp_drop
ACC-00004,Starter,Healthcare,3,161.26,2026-04-28,False,,slow_decay
ACC-00005,Scale,Healthcare,8,1637.51,2026-04-05,False,,healthy
ACC-00006,Starter,Logistics,1,70.03,2025-12-13,False,,healthy
ACC-00007,Starter,Professional Services,11,409.26,2026-02-19,False,,seasonal
ACC-00008,Starter,FinTech,1,96.88,2026-04-09,True,2026-07-12,slow_decay
ACC-00009,Growth,Retail,6,744.25,2025-11-02,False,,healthy
ACC-00010,Enterprise,Manufacturing,9,1228.67,2026-01-24,False,,healthy
ACC-00011,Growth,Healthcare,6,912.48,2026-05-06,False,,healthy
ACC-00012,Growth,Healthcare,2,136.07,2026-03-08,False,,healthy
ACC-00013,Growth,Manufacturing,3,400.83,2026-05-08,False,,healthy
ACC-00014,Starter,Professional Services,3,99.97,2026-04-17,False,,healthy
ACC-00015,Starter,Media,1,102.46,2026-02-06,True,2026-06-08,sharp_drop
ACC-00016,Starter,Professional Services,11,407.73,2026-01-22,True,2026-06-19,slow_decay
ACC-00017,Enterprise,Retail,24,6407.94,2026-01-19,True,2026-07-21,slow_decay
ACC-00018,Starter,EdTech,1,117.59,2026-04-24,True,2026-07-23,sharp_drop
ACC-00019,Starter,Professional Services,5,440.05,2026-01-07,False,,healthy
ACC-00020,Starter,Retail,3,161.68,2025-11-22,False,,seasonal
ACC-00021,Starter,Retail,4,431.62,2026-03-20,False,,seasonal
ACC-00022,Starter,Media,6,299.79,2026-01-16,True,2026-05-25,slow_decay
ACC-00023,Scale,Media,19,5058.27,2026-03-03,False,,healthy
ACC-00024,Starter,EdTech,15,1115.44,2025-12-16,True,2026-06-19,slow_decay
