account_id,plan_tier,industry,seats,contract_value_monthly,tenure_days,risk_score,risk_tier,top_risk_drivers,recommended_action,days_since_last_login,login_momentum_7_30,support_ticket_trend_14_60,latest_nps,as_of_date
ACC-01026,Growth,Healthcare,3,552.64,114,0.514,Medium,Login frequency down 55% vs their own 30-day average,Check in with an async usage summary or a light-touch 'how's it going' email.,3.0,0.4511278195488721,0.2499999375000156,10.0,2026-06-22
ACC-00541,Growth,Professional Services,6,579.5,128,0.484,Medium,Login frequency down 40% vs their own 30-day average,Check in with an async usage summary or a light-touch 'how's it going' email.,0.0,0.5971896955503513,0.3333332222222592,,2026-06-27
ACC-00907,Enterprise,Manufacturing,10,3885.02,86,0.449,Medium,Low NPS/survey response (5/10),Personally follow up on their survey feedback; treat as a save-play priority.,0.0,0.6571428571428571,0.999999000001,5.0,2026-06-28
ACC-00519,Starter,Healthcare,9,965.73,72,0.426,Medium,Low NPS/survey response (5/10),Personally follow up on their survey feedback; treat as a save-play priority.,0.0,0.7192807192807192,0.2499999375000156,5.0,2026-06-24
ACC-00812,Starter,Professional Services,5,220.81,72,0.393,Low,Low NPS/survey response (2/10),Personally follow up on their survey feedback; treat as a save-play priority.,0.0,1.1154598825831703,0.2499999375000156,2.0,2026-06-25
ACC-00162,Growth,Logistics,3,448.9,184,0.35,Low,Login frequency down 66% vs their own 30-day average,Check in with an async usage summary or a light-touch 'how's it going' email.,2.0,0.3383458646616541,0.3333332222222592,10.0,2026-06-28
ACC-00550,Scale,Logistics,6,713.37,79,0.294,Low,Login frequency down 49% vs their own 30-day average | Low NPS/survey response (4/10),Check in with an async usage summary or a light-touch 'how's it going' email.,3.0,0.5142857142857142,0.2499999375000156,4.0,2026-06-25
ACC-00063,Growth,Media,7,1060.5,163,0.239,Low,Low NPS/survey response (3/10),Personally follow up on their survey feedback; treat as a save-play priority.,0.0,0.7653061224489796,0.0,3.0,2026-06-24
ACC-00229,Starter,EdTech,7,374.09,51,0.218,Low,Low NPS/survey response (0/10),Personally follow up on their survey feedback; treat as a save-play priority.,0.0,0.7681940700808626,0.333333277777787,0.0,2026-06-26
ACC-00735,Scale,Manufacturing,3,420.91,219,0.196,Low,No single dominant signal — risk driven by a broad combination of factors,Review full usage trend in the dashboard before deciding on outreach.,0.0,0.637065637065637,0.4999998750000312,7.0,2026-06-25
ACC-00772,Starter,Healthcare,4,436.33,72,0.184,Low,No single dominant signal — risk driven by a broad combination of factors,Review full usage trend in the dashboard before deciding on outreach.,0.0,0.6949806949806949,0.0,10.0,2026-06-26
ACC-00671,Growth,Manufacturing,2,134.79,79,0.181,Low,No single dominant signal — risk driven by a broad combination of factors,Review full usage trend in the dashboard before deciding on outreach.,0.0,0.9266409266409266,0.0,,2026-06-26
ACC-00166,Scale,Professional Services,21,2360.51,163,0.175,Low,Low NPS/survey response (6/10),Personally follow up on their survey feedback; treat as a save-play priority.,0.0,0.7521865889212829,0.6666664444445185,6.0,2026-06-27
